"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"FAM114A1",8.20980246521624e-08,2.8965530524669,0.451,0.04,0.00243289286254218,"FAM114A1"
"SDSL",8.31152700003255e-08,4.59967626182102,0.392,0.027,0.00246303791118964,"SDSL"
"ALDH7A1",8.31707641534212e-08,3.5893569018455,0.373,0.013,0.00246468242492248,"ALDH7A1"
"MPZL2",8.31707641534212e-08,4.85145182175009,0.373,0.013,0.00246468242492248,"MPZL2"
"PLXNA1",8.31707641534212e-08,3.63188991410059,0.373,0.013,0.00246468242492248,"PLXNA1"
"WFDC3",8.31707641534212e-08,3.66000009719504,0.373,0.013,0.00246468242492248,"WFDC3"
"CDK1",8.32602253853342e-08,3.27004083241948,0.431,0.04,0.00246733351906899,"CDK1"
"SLC7A7",8.44424914392066e-08,2.76107101294135,0.529,0.107,0.00250236879130945,"SLC7A7"
"APOC1",8.67373700457727e-08,2.13096808447203,0.784,0.333,0.00257037522393643,"APOC1"
"GNA15",9.11485482825035e-08,2.49786526892586,0.569,0.12,0.00270109607980371,"GNA15"
"CDC42BPA",9.46688864770445e-08,2.81258688283,0.373,0.013,0.00280541778186074,"CDC42BPA"
"C1orf106",9.73454130704931e-08,3.57611402831929,0.333,0,0.00288473397093099,"C1orf106"
"CCL7",9.73454130704931e-08,5.45160724035955,0.333,0,0.00288473397093099,"CCL7"
"CD93",9.73454130704931e-08,4.85798769243071,0.333,0,0.00288473397093099,"CD93"
"CLDN1",9.73454130704931e-08,4.75210716675498,0.333,0,0.00288473397093099,"CLDN1"
"CX3CR1",9.73454130704931e-08,4.92428557586626,0.333,0,0.00288473397093099,"CX3CR1"
"FAM83A",9.73454130704931e-08,4.57761306372615,0.333,0,0.00288473397093099,"FAM83A"
"FAM83H",9.73454130704931e-08,4.39114134440953,0.333,0,0.00288473397093099,"FAM83H"
"GPT2",9.73454130704931e-08,4.12803512954806,0.333,0,0.00288473397093099,"GPT2"
"GULP1",9.73454130704931e-08,3.79610035505118,0.333,0,0.00288473397093099,"GULP1"
"KCNK1",9.73454130704931e-08,3.72285798538588,0.333,0,0.00288473397093099,"KCNK1"
"LAD1",9.73454130704931e-08,4.45352054482289,0.333,0,0.00288473397093099,"LAD1"
