"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TMEM61",4.96998786603739e-08,-2.7245837678201,0,0.367,0.00147280620422152,"TMEM61"
"MMP7",5.08908600839622e-08,-4.24870292141157,0.043,0.469,0.00150809974772813,"MMP7"
"STAB1",5.21132307322317e-08,-4.82950275713766,0.043,0.449,0.00154432347951896,"STAB1"
"NRP1",5.41546865843021e-08,-4.27552310998935,0.143,0.633,0.00160481998223921,"NRP1"
"SLAMF9",5.68934037302372e-08,-4.00762903132203,0.057,0.49,0.00168597912614185,"SLAMF9"
"CEP170B",5.7855148835738e-08,-2.59801767429825,0.029,0.429,0.00171447948059826,"CEP170B"
"ANPEP",5.88115206003653e-08,-4.20964435698728,0.157,0.633,0.00174282060147123,"ANPEP"
"FHL2",6.09287011049243e-08,-3.90019632717792,0.157,0.633,0.00180556112854333,"FHL2"
"RAPH1",6.37255608571718e-08,-3.51654459749382,0.1,0.551,0.00188844327044143,"RAPH1"
"BCAM",6.4263200111806e-08,-4.40526478290204,0.057,0.49,0.00190437567211326,"BCAM"
"IFITM3",6.4637172796778e-08,-2.58518336766613,0.671,0.98,0.00191545797865972,"IFITM3"
"MIR3945HG",6.47054079871707e-08,-4.10494082864225,0.071,0.51,0.00191748006029182,"MIR3945HG"
"KRTCAP3",6.77622278498632e-08,-3.47034062845525,0.129,0.612,0.00200806586010285,"KRTCAP3"
"HNMT",7.15563015184087e-08,-3.84709025394358,0.286,0.755,0.00212049943919652,"HNMT"
"FAM20C",7.54133046423817e-08,-3.14277815086362,0.2,0.653,0.00223479786977234,"FAM20C"
"AGR3",7.61360585417886e-08,-5.45921575085885,0.014,0.388,0.00225621595882736,"AGR3"
"GPR84",8.65269169843968e-08,-3.40120756355749,0.043,0.449,0.00256413865791562,"GPR84"
"ABCA1",8.6762426012045e-08,-3.53057264765439,0.229,0.735,0.00257111773244094,"ABCA1"
"SDC3",8.86136299710472e-08,-2.946217778741,0.071,0.51,0.00262597631056201,"SDC3"
"SCNN1A",9.23554496430749e-08,-2.6475980153406,0.057,0.49,0.00273686139472288,"SCNN1A"
"DSG2",9.58140442953911e-08,-3.99979814049405,0.071,0.51,0.00283935338864962,"DSG2"
"KIAA1211L",9.75153699153753e-08,-2.9124044046994,0.029,0.429,0.00288977047207223,"KIAA1211L"
"ANKRD22",1.03083900762112e-07,-3.15095029831491,0.157,0.633,0.00305478831518442,"ANKRD22"
"FOSL1",1.11158782731291e-07,-3.55432101923398,0.043,0.449,0.00329407936745909,"FOSL1"
"MYOF",1.14276342434356e-07,-3.14293622551672,0.171,0.633,0.00338646513169971,"MYOF"
"C1QC",1.17994460241676e-07,-3.77170383440782,0.3,0.755,0.00349664783480182,"C1QC"
"NEBL",1.20224624713011e-07,-2.55632778003399,0.014,0.388,0.00356273652874536,"NEBL"
"FZD5",1.20785311656156e-07,-2.2302223581129,0.043,0.449,0.00357935192561852,"FZD5"
"CSF3R",1.26679618050376e-07,-3.73603877141156,0.171,0.633,0.00375402380130483,"CSF3R"
"C1orf53",1.29651761530321e-07,-3.3586721312551,0.1,0.551,0.00384210030118952,"C1orf53"
"DOCK1",1.31621384640879e-07,-2.0977530114429,0.014,0.388,0.00390046811244781,"DOCK1"
"ITGB6",1.32524961778087e-07,-3.99331081363534,0.029,0.408,0.00392724471733183,"ITGB6"
"C9orf152",1.32596886988054e-07,-2.45475370770053,0,0.347,0.003929376149004,"C9orf152"
"CA12",1.32596886988054e-07,-2.38168301950593,0,0.347,0.003929376149004,"CA12"
"GPR87",1.32596886988054e-07,-3.19080446551593,0,0.347,0.003929376149004,"GPR87"
"HS6ST2",1.32596886988054e-07,-2.57997053991223,0,0.347,0.003929376149004,"HS6ST2"
"IGSF9",1.32596886988054e-07,-2.06175304663063,0,0.347,0.003929376149004,"IGSF9"
"PCDH1",1.32596886988054e-07,-2.99574323826389,0,0.347,0.003929376149004,"PCDH1"
"PCLO",1.32596886988054e-07,-2.46762227852871,0,0.347,0.003929376149004,"PCLO"
"SFTPA1",1.32596886988054e-07,-4.70532407690578,0,0.347,0.003929376149004,"SFTPA1"
"SLC6A14",1.32596886988054e-07,-3.25364478256555,0,0.347,0.003929376149004,"SLC6A14"
"SOX2",1.32596886988054e-07,-3.7177255369181,0,0.347,0.003929376149004,"SOX2"
