"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SCARB2",1.73726394041703e-15,2.44777183212688,0.974,0.809,5.14820796103183e-11,"SCARB2"
"PDE4C",1.74995945453099e-15,2.46753801693333,0.714,0.155,5.18582984755713e-11,"PDE4C"
"LUCAT1",1.75124568188314e-15,3.45354939434609,0.792,0.291,5.18964145369251e-11,"LUCAT1"
"GOLIM4",1.75134108087351e-15,2.24572099672669,0.961,0.573,5.18992415906055e-11,"GOLIM4"
"TLN2",1.79414087998706e-15,2.23646275581107,0.675,0.1,5.31675708375366e-11,"TLN2"
"FAM171B",1.83245730682815e-15,2.82022328234008,0.584,0.045,5.43030398305453e-11,"FAM171B"
"IL4I1",1.83742243589985e-15,2.70700037375761,0.935,0.6,5.44501764654561e-11,"IL4I1"
"LINC01272",1.8663772670293e-15,3.13394435398159,0.883,0.445,5.53082239311464e-11,"LINC01272"
"DTX4",1.86653229815847e-15,2.40560316832763,0.766,0.164,5.53128181236282e-11,"DTX4"
"WWTR1",1.88044086116179e-15,3.24528728063507,0.818,0.273,5.57249844796686e-11,"WWTR1"
"FGF11",1.99070173951187e-15,2.61063992140349,0.636,0.073,5.89924553486949e-11,"FGF11"
"NMNAT2",2.01521989119788e-15,2.41908947287789,0.494,0.009,5.97190262557579e-11,"NMNAT2"
"SERPING1",2.04964243558343e-15,2.34285622795013,0.935,0.527,6.07391039360793e-11,"SERPING1"
"SULF1",2.07900555824672e-15,4.41762202288661,0.494,0.009,6.16092507130832e-11,"SULF1"
"ICAM1",2.09389853342076e-15,2.5338340126257,0.961,0.845,6.20505891393909e-11,"ICAM1"
"EDN1",2.16972226763172e-15,2.856173223966,0.701,0.136,6.42975496789984e-11,"EDN1"
"STS",2.16972226763172e-15,3.12174846840857,0.701,0.136,6.42975496789984e-11,"STS"
"NCEH1",2.24452328635813e-15,2.56567172243518,0.922,0.409,6.65142030679368e-11,"NCEH1"
"CYFIP1",2.25281970227775e-15,2.41675098578032,0.909,0.482,6.6760059057299e-11,"CYFIP1"
"BST1",2.28205082779437e-15,3.18944288537216,0.779,0.245,6.76262942308583e-11,"BST1"
"SLC44A3",2.31466534942982e-15,2.48523568349417,0.597,0.055,6.85927929650034e-11,"SLC44A3"
"LRRC25",2.31940783372793e-15,2.83533471612956,0.857,0.418,6.87333317446935e-11,"LRRC25"
"RAB31",2.32801482041018e-15,2.64586985768711,0.948,0.718,6.89883911880352e-11,"RAB31"
"TMEM176A",2.45224140478618e-15,3.06987979829068,0.922,0.536,7.26697217894336e-11,"TMEM176A"
"ANKRD65",2.47143255183424e-15,3.93021701457798,0.61,0.073,7.32384322410559e-11,"ANKRD65"
"SERTAD4-AS1",2.50565107075482e-15,3.10335163762844,0.494,0.009,7.42524638307483e-11,"SERTAD4-AS1"
"GATA2-AS1",2.55180348316026e-15,2.04567806231151,0.519,0.018,7.56201444199711e-11,"GATA2-AS1"
"CEBPD",2.56415077444884e-15,2.39790788635265,0.935,0.691,7.59860440500168e-11,"CEBPD"
"CSRP2",2.75007312406203e-15,2.87304145167334,0.701,0.118,8.14956669584541e-11,"CSRP2"
"LRRC73",2.75021548379961e-15,2.01731701791395,0.494,0.009,8.14998856469177e-11,"LRRC73"
"VPS37D",2.76049337680943e-15,1.97859587672546,0.545,0.027,8.18044607283706e-11,"VPS37D"
"TMIGD3",2.84365701414614e-15,3.34399239624585,0.675,0.127,8.42689319572066e-11,"TMIGD3"
"KLHDC8B",2.84571628680625e-15,2.17789343631716,0.87,0.355,8.43299564432164e-11,"KLHDC8B"
"ABCA12",2.8553243068971e-15,1.73511914869751,0.468,0,8.46146805105885e-11,"ABCA12"
"FEZF1-AS1",2.8553243068971e-15,2.49849529605576,0.468,0,8.46146805105885e-11,"FEZF1-AS1"
"KRT16",2.8553243068971e-15,2.64638335139646,0.468,0,8.46146805105885e-11,"KRT16"
"SCGB3A2",2.8553243068971e-15,4.33011705589109,0.468,0,8.46146805105885e-11,"SCGB3A2"
"MYO6",2.94379105097395e-15,2.6471877447032,0.922,0.391,8.72363040045621e-11,"MYO6"
"CX3CL1",3.04030314371047e-15,2.47208237486876,0.506,0.018,9.00963433607159e-11,"CX3CL1"
"C11orf96",3.05847055749973e-15,3.34293877965243,0.649,0.109,9.06347165009471e-11,"C11orf96"
"PLPPR2",3.34677737277713e-15,2.1262852611571,0.831,0.209,9.91784006648775e-11,"PLPPR2"
"ADAMTSL4",3.40009370094152e-15,3.29672583439047,0.766,0.209,1.00758376733701e-10,"ADAMTSL4"
"RTN2",3.43384485178799e-15,2.3789642002495,0.779,0.209,1.01758558337885e-10,"RTN2"
"CYSTM1",3.43996430814287e-15,2.14886572096018,0.987,0.873,1.01939902307506e-10,"CYSTM1"
"CMKLR1",3.62832187134788e-15,2.41666375859832,0.779,0.227,1.07521690335523e-10,"CMKLR1"
"ADIRF",3.63810618414948e-15,3.61093543455258,0.792,0.236,1.07811638661086e-10,"ADIRF"
"CHI3L1",3.73876251051462e-15,4.3413158212435,0.766,0.2,1.1079448823659e-10,"CHI3L1"
"CTSL",3.74796976439807e-15,2.6272859053148,0.987,0.809,1.11067335998172e-10,"CTSL"
"EPB41L1",3.81331905468298e-15,2.56219159231506,0.753,0.191,1.13003896866475e-10,"EPB41L1"
"LRP12",3.83049362571378e-15,1.91193363710727,0.766,0.2,1.13512848104402e-10,"LRP12"
