"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"LGALS2",0.153657961816871,-1.17139505298975,0.371,0.531,1,"LGALS2"
"PMS1",0.153666341460463,-1.17218636648441,0.329,0.51,1,"PMS1"
"NUDT21",0.153672616147453,-0.747511437082064,0.714,0.837,1,"NUDT21"
"RAB10",0.153825844442987,-0.706639772965397,0.8,0.878,1,"RAB10"
"TMEM120A",0.153859742475886,-0.565132477410487,0.5,0.673,1,"TMEM120A"
"CERS2",0.153873594335606,-0.641546382749859,0.643,0.816,1,"CERS2"
"RP11-159D12.5",0.153911991689887,-1.09174729210479,0.071,0.163,1,"RP11-159D12.5"
"NUDT4",0.15395304961378,0.639739692675098,0.8,0.735,1,"NUDT4"
"POLR2I",0.153965707967849,-0.826805248619354,0.8,0.898,1,"POLR2I"
"CTB-58E17.1",0.154075999158125,-1.52722994362228,0.3,0.449,1,"CTB-58E17.1"
"HIF1AN",0.154159054419789,-0.917355582418186,0.4,0.612,1,"HIF1AN"
"ZFP90",0.154159054419789,-0.823090621150429,0.414,0.592,1,"ZFP90"
"ZNF124",0.154171716743839,0.222281363666182,0.3,0.49,1,"ZNF124"
"CYC1",0.154204106079929,-0.628578636410107,0.814,0.918,1,"CYC1"
"RAB21",0.154216118329094,-0.682170071755058,0.614,0.837,1,"RAB21"
"MRPS22",0.154342213141037,-0.803532978585533,0.543,0.776,1,"MRPS22"
"ZFPL1",0.15441157228062,-0.468667290843938,0.529,0.714,1,"ZFPL1"
"PRKAR2A",0.154413478528381,-0.644037123217483,0.529,0.776,1,"PRKAR2A"
"RBL2",0.15445778763148,0.493443350130256,0.786,0.735,1,"RBL2"
"BYSL",0.154511637769655,-0.538458695014719,0.286,0.429,1,"BYSL"
"PARP6",0.15468070142172,-0.383919048188597,0.357,0.51,1,"PARP6"
"RPL8",0.154803923449974,0.398957149800859,1,1,1,"RPL8"
"AC241585.2",0.155071131755036,1.10174053545526,0.357,0.245,1,"AC241585.2"
"ZNF281",0.155086165877247,0.894631355314169,0.729,0.612,1,"ZNF281"
"BCORL1",0.155104057083431,-0.491011646407656,0.129,0.224,1,"BCORL1"
"MBNL1-AS1",0.155155000867052,-0.820476819638666,0.214,0.347,1,"MBNL1-AS1"
"RTP5",0.155356500343947,0.46245338213698,0.143,0.061,1,"RTP5"
"C12orf65",0.155456852765196,0.578719655947096,0.729,0.694,1,"C12orf65"
"ELK1",0.15548997425051,-0.837114062336318,0.457,0.735,1,"ELK1"
"PSAP",0.155562556195252,-0.633699855834847,0.929,0.98,1,"PSAP"
"RASGRP3",0.155688221502628,-0.699022613307186,0.529,0.653,1,"RASGRP3"
