"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SLC2A1",5.76103267993075e-11,-1.81535199711712,0.727,0.987,1.70722442437068e-06,"SLC2A1"
"OCLN",5.86864652339433e-11,-1.99145794045134,0.382,0.896,1.73911471074267e-06,"OCLN"
"TMPRSS11E",5.94810577986093e-11,-2.00941824912124,0.036,0.429,1.76266166680399e-06,"TMPRSS11E"
"WSB2",5.96811923906866e-11,-1.63781822704102,0.709,0.948,1.76859245530561e-06,"WSB2"
"ASAP3",5.9823465371013e-11,-1.5724746166326,0.045,0.455,1.7728085728046e-06,"ASAP3"
"KLHL23",5.99700637521381e-11,-1.73749572949623,0.227,0.766,1.77715286923086e-06,"KLHL23"
"SOD3",6.0242292735651e-11,-2.0045221346505,0.118,0.584,1.78522010292828e-06,"SOD3"
"PIGR",6.03951960144113e-11,-4.75845680357229,0.073,0.494,1.78975123869106e-06,"PIGR"
"C17orf96",6.17625270161286e-11,-2.28924166808127,0.182,0.662,1.83027072559596e-06,"C17orf96"
"PPP1R3G",6.2572803187316e-11,-2.21341388414082,0.109,0.545,1.85428244965292e-06,"PPP1R3G"
"HP",6.29007627572399e-11,-7.60687322500435,0.036,0.416,1.86400120354805e-06,"HP"
"RAB34",6.42283913849946e-11,-1.81241732367749,0.818,0.948,1.90334415030293e-06,"RAB34"
"PPIF",6.45445265816721e-11,-1.75544629478371,0.864,0.948,1.91271250072127e-06,"PPIF"
"SLC1A7",6.47375197195418e-11,-2.92217272540313,0.009,0.364,1.9184316593689e-06,"SLC1A7"
"PPM1H",6.49120141004167e-11,-2.52724700182354,0.1,0.506,1.92360262585175e-06,"PPM1H"
"LACTB2-AS1",6.4923561033509e-11,1.72740779279919,0.836,0.494,1.92394480766701e-06,"LACTB2-AS1"
