"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SENP1",0.0235889163550867,-1.21041060304398,0.04,0.157,1,"SENP1"
"RFK",0.0236189975385445,-0.308361106111322,0.32,0.627,1,"RFK"
"RP4-594I10.3",0.0236497405954455,1.52274420821618,0.387,0.235,1,"RP4-594I10.3"
"P4HB",0.0237320849165313,-0.568358964891797,0.76,0.843,1,"P4HB"
"RPL4",0.0237322271683868,0.5828211968442,1,0.98,1,"RPL4"
"BASP1",0.0237804276203098,-0.963136267443572,0.413,0.608,1,"BASP1"
"ZFP91",0.023791901826198,-0.178684097185428,0.2,0.431,1,"ZFP91"
"NOSIP",0.0238009158987708,0.625039852624347,0.827,0.765,1,"NOSIP"
"AREL1",0.0238430215660127,-1.32954499442056,0.067,0.216,1,"AREL1"
"FOXN2",0.0239212423020015,-0.731177502339247,0.24,0.49,1,"FOXN2"
"XX-FW83563B9.5",0.0239748040301785,-1.0714616074389,0.107,0.275,1,"XX-FW83563B9.5"
"PRKCB",0.024047002731641,0.999220390264183,0.747,0.549,1,"PRKCB"
"ARHGAP1",0.0240791231573257,-0.483611099791772,0.267,0.529,1,"ARHGAP1"
"STK26",0.0240988667922674,-1.05338009952075,0.213,0.431,1,"STK26"
"PI4K2B",0.0241185548410905,-1.04523908197568,0.16,0.373,1,"PI4K2B"
"AFTPH",0.0241469326483244,-0.627319772704144,0.32,0.529,1,"AFTPH"
"RP11-542M13.3",0.024174947772813,2.47141089166187,0.2,0.059,1,"RP11-542M13.3"
"TMEM186",0.0241774911494188,-0.249997048675634,0.2,0.431,1,"TMEM186"
"MCTP2",0.0241774911494188,-0.598875973297443,0.213,0.412,1,"MCTP2"
"MRPL19",0.0241980078653832,-0.370722311928298,0.427,0.647,1,"MRPL19"
"BRAP",0.0242121294182654,-0.263161104097761,0.187,0.412,1,"BRAP"
"LILRA4",0.0242208382927104,3.04949203216127,0.133,0.02,1,"LILRA4"
"GHDC",0.0242733922128422,-0.691761009306094,0.16,0.353,1,"GHDC"
"KDELR2",0.0242737823829845,-0.634744042438168,0.653,0.765,1,"KDELR2"
"CCZ1B",0.0242898977184113,-1.75054718141171,0.133,0.314,1,"CCZ1B"
"FBXL17",0.0242898977184113,-0.749449549063334,0.133,0.314,1,"FBXL17"
"ANXA6",0.0243567504377103,0.815041112969508,0.84,0.725,1,"ANXA6"
"FAAP24",0.0243818934255376,0.883895536861874,0.067,0.216,1,"FAAP24"
"ATAD5",0.0243875415601735,-1.26915765605685,0.133,0.333,1,"ATAD5"
"TPCN1",0.0243875415601735,0.187495051158105,0.133,0.333,1,"TPCN1"
"CDK2",0.0244293335881065,-0.852728977731198,0.093,0.255,1,"CDK2"
"ZNF384",0.0244328582834708,-0.48287093339004,0.08,0.235,1,"ZNF384"
"IKZF1",0.0244332004262658,0.460180675310365,0.747,0.627,1,"IKZF1"
"SNRK",0.0244401307094941,0.938339880723929,0.44,0.275,1,"SNRK"
"DNAJC11",0.024447664029473,-1.06874611319996,0.107,0.275,1,"DNAJC11"
"RAB38",0.024447664029473,-0.590964130215864,0.107,0.275,1,"RAB38"
"IFI30",0.024485248297528,-0.606399823420208,0.24,0.392,1,"IFI30"
"GK5",0.0245384260185136,-2.07868359881651,0.12,0.294,1,"GK5"
"TMEM8A",0.0245476843799229,-0.582921553794057,0.24,0.471,1,"TMEM8A"
"ATM",0.0245504217296313,0.716101218253186,0.76,0.745,1,"ATM"
"NDFIP2",0.0245684865197886,-0.672640749907224,0.213,0.412,1,"NDFIP2"
"NEU1",0.0245735243324926,-1.00774334538585,0.44,0.725,1,"NEU1"
"PSIP1",0.0246018097584054,0.430222719224096,0.8,0.667,1,"PSIP1"
