"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PDCD2L",0.511192246892262,-0.257933176840383,0.492,0.634,1,"PDCD2L"
"POMK",0.51124626379127,-0.648403018332173,0.058,0.085,1,"POMK"
"EHMT2",0.511261467656849,0.480353018246093,0.667,0.695,1,"EHMT2"
"TMEM9B-AS1",0.511317886546268,-0.219726160407911,0.142,0.195,1,"TMEM9B-AS1"
"PARP11",0.511565742989352,0.343867957660413,0.567,0.561,1,"PARP11"
"OPA3",0.511797902217491,-0.194329246559251,0.575,0.72,1,"OPA3"
"NDUFB1",0.511996565865145,0.207524848541244,0.917,0.963,1,"NDUFB1"
"C1orf61",0.512086051511341,0.220087250086983,0.142,0.183,1,"C1orf61"
"FAM69A",0.512165253927133,0.640104794894538,0.45,0.402,1,"FAM69A"
"RP11-162G10.5",0.512321578618699,1.24331313218747,0.317,0.305,1,"RP11-162G10.5"
"ZNF25",0.512356598830883,-0.403163390064139,0.342,0.439,1,"ZNF25"
"ACAA1",0.512436005673023,-0.398989723695652,0.8,0.854,1,"ACAA1"
"XX-FW83563B9.5",0.512577127068726,-0.279151499791716,0.283,0.366,1,"XX-FW83563B9.5"
"ACTL10",0.512924929652092,0.228061647282062,0.333,0.415,1,"ACTL10"
"CNOT2",0.513016319417265,-0.120201601375944,0.758,0.89,1,"CNOT2"
"AK8",0.513121625273668,0.268781692122397,0.158,0.207,1,"AK8"
"SLC25A28",0.513160143482412,-0.163027322218483,0.492,0.598,1,"SLC25A28"
"IGKV1D-43",0.513349537148619,-0.454762005054254,0.042,0.024,1,"IGKV1D-43"
"RP11-640N11.2",0.513349537148619,-0.983503411031068,0.042,0.024,1,"RP11-640N11.2"
"RP11-807H22.7",0.513349537148619,-0.563991676002262,0.042,0.024,1,"RP11-807H22.7"
"NDUFS7",0.513575345002113,-0.165124044320492,0.908,0.976,1,"NDUFS7"
"CAPRIN2",0.513624088332381,0.493142870783395,0.358,0.439,1,"CAPRIN2"
"TCEB2",0.513629606385135,-0.132383794803095,0.983,0.976,1,"TCEB2"
"ADI1",0.513694413223817,-0.272797251648488,0.758,0.878,1,"ADI1"
"NAA40",0.51391394409447,-0.545138391692949,0.392,0.488,1,"NAA40"
"SGSM3",0.514135224725811,0.258320583742194,0.733,0.817,1,"SGSM3"
"RNF113A",0.514135224725811,0.239490452067439,0.758,0.78,1,"RNF113A"
"NF2",0.514469436097149,0.214014562319171,0.575,0.683,1,"NF2"
"CTC-1337H24.3",0.514648031541519,-0.311361193611124,0.067,0.098,1,"CTC-1337H24.3"
"BMI1",0.514661154506704,-0.437324477475869,0.583,0.72,1,"BMI1"
"COL4A1",0.514832558135976,-0.223036754547234,0.058,0.085,1,"COL4A1"
"RASGRF2-AS1",0.514832558135976,-0.436840186532927,0.058,0.085,1,"RASGRF2-AS1"
"TAPT1-AS1",0.514832558135976,-1.04143452014226,0.058,0.085,1,"TAPT1-AS1"
"AGO3",0.514937627684474,-0.381092812052426,0.617,0.756,1,"AGO3"
"PBRM1",0.515136457273806,-0.125780375885559,0.708,0.768,1,"PBRM1"
"PDCL",0.515491521089783,-0.320291617142537,0.583,0.744,1,"PDCL"
"FOXJ2",0.515648901947253,0.126060151155394,0.425,0.512,1,"FOXJ2"
"AC005262.2",0.515685108757458,0.6086464766798,0.025,0.012,1,"AC005262.2"
"AC007743.1",0.515685108757458,-0.350110763271793,0.025,0.012,1,"AC007743.1"
"AC009060.3",0.515685108757458,-0.412876416512137,0.025,0.012,1,"AC009060.3"
"AC064834.1",0.515685108757458,0.818676417657455,0.025,0.012,1,"AC064834.1"
"AC097662.2",0.515685108757458,-0.126569334488292,0.025,0.012,1,"AC097662.2"
"AC108004.3",0.515685108757458,-0.282632115879884,0.025,0.012,1,"AC108004.3"
"ADAM29",0.515685108757458,-0.414641572376365,0.025,0.012,1,"ADAM29"
"AGTR1",0.515685108757458,-0.411640786443967,0.025,0.012,1,"AGTR1"
"C2-AS1",0.515685108757458,-0.404705976298846,0.025,0.012,1,"C2-AS1"
"CCL14",0.515685108757458,-0.182512656209976,0.025,0.012,1,"CCL14"
"CHRNA2",0.515685108757458,-0.315161319505614,0.025,0.012,1,"CHRNA2"
"CPB1",0.515685108757458,-0.388888247729064,0.025,0.012,1,"CPB1"
"CTA-212A2.2",0.515685108757458,-0.223445082974542,0.025,0.012,1,"CTA-212A2.2"
"CTB-50L17.9",0.515685108757458,-0.359088990952598,0.025,0.012,1,"CTB-50L17.9"
"CTC-325H20.4",0.515685108757458,-0.608298346777839,0.025,0.012,1,"CTC-325H20.4"
"CTC-461F20.1",0.515685108757458,0.243888102605049,0.025,0.012,1,"CTC-461F20.1"
"CTD-2017C7.2",0.515685108757458,-0.477050754778228,0.025,0.012,1,"CTD-2017C7.2"
"CTD-2540L5.6",0.515685108757458,-0.30743710934941,0.025,0.012,1,"CTD-2540L5.6"
"CYP26C1",0.515685108757458,-0.198534258706715,0.025,0.012,1,"CYP26C1"
